bad,worse,worse2,worse3,worse4,worse5
112935.0,107552.0,102787.0,102787.0,102400.0,102787.0
127553.0,127553.0,127553.0,127553.0,127553.0,127553.0
169727.0,146498.0,123896.0,123896.0,121471.0,123896.0
436853.0,426038.0,426038.0,426038.0,425820.0,426038.0
14970.0,14970.0,14970.0,14970.0,14970.0,14970.0
158856.0,158856.0,158424.0,158424.0,158424.0,158424.0
330156.0,330156.0,330156.0,330156.0,330156.0,330156.0
169494.0,149348.0,131776.0,131776.0,131776.0,131776.0
236217.0,186265.0,186265.0,187515.0,184863.0,186265.0
327068.0,282283.0,282283.0,282283.0,281946.0,282283.0
39795.0,39795.0,39795.0,39795.0,39795.0,39795.0
205748.0,183624.0,162269.0,162173.0,168652.0,162269.0
121753.0,121753.0,121753.0,121753.0,121753.0,121753.0
357885.0,316240.0,316240.0,319493.0,311125.0,316240.0
282841.0,281885.0,277822.0,277822.0,277822.0,277822.0
340186.0,340186.0,340186.0,340186.0,340186.0,340186.0
32896.0,33060.0,33784.0,33784.0,33784.0,30851.0
330638.0,330638.0,330638.0,330638.0,330638.0,330638.0
357030.0,357030.0,357030.0,357030.0,357030.0,357030.0
135151.0,135775.0,113175.0,113175.0,113175.0,113175.0
243326.0,200933.0,195379.0,195567.0,193194.0,195379.0
342717.0,302826.0,312407.0,306748.0,303523.0,312407.0
202180.0,202180.0,202180.0,202180.0,202180.0,202180.0
40177.0,40177.0,40177.0,40177.0,40177.0,40177.0
82711.0,82711.0,82711.0,82711.0,82711.0,82711.0
118828.0,118828.0,118828.0,118828.0,118828.0,118828.0
439422.0,439422.0,439422.0,439422.0,439422.0,439422.0
394199.0,394199.0,394199.0,394199.0,394199.0,394199.0
386741.0,379958.0,358389.0,358389.0,358389.0,358389.0
47293.0,47293.0,47293.0,47293.0,47293.0,47293.0
165415.0,165415.0,165415.0,165415.0,165415.0,165415.0
141721.0,141721.0,141721.0,141721.0,141721.0,141721.0
168213.0,168213.0,168213.0,168213.0,168213.0,168213.0
364165.0,327646.0,317495.0,316386.0,318249.0,317495.0
179134.0,158114.0,145825.0,145825.0,145825.0,145825.0
148755.0,148755.0,148755.0,148755.0,148755.0,148755.0
413193.0,400733.0,400733.0,400733.0,400250.0,400733.0
177560.0,177560.0,177254.0,177254.0,177254.0,177254.0
358916.0,358916.0,358916.0,358916.0,358916.0,358916.0
58322.0,58322.0,58322.0,58322.0,58322.0,58322.0
115183.0,115183.0,115183.0,115183.0,115183.0,115183.0
62744.0,62744.0,62744.0,62744.0,62744.0,62744.0
203628.0,203628.0,203628.0,203628.0,203628.0,203628.0
48595.0,48595.0,48595.0,48595.0,48595.0,48595.0
404478.0,404478.0,404478.0,404478.0,404478.0,404478.0
210492.0,210492.0,210492.0,210492.0,210492.0,210492.0
404358.0,375508.0,375508.0,375823.0,376067.0,375508.0
149403.0,149403.0,149403.0,149403.0,149403.0,149403.0
